3800,0
3801,1
3802,0
3803,1
3804,1
3805,0
3806,0
3807,1
3808,1
3809,0
3810,1
3811,1
3812,1
3813,1
3814,1
3815,0
3816,1
3817,0
3818,0
3819,1
3820,1
3821,1
3822,1
3823,1
3824,1
3825,0
3826,1
3827,1
3828,1
3829,0
3830,1
3831,0
3832,0
3833,1
3834,0
3835,0
3836,0
3837,1
3838,1
3839,0
3840,0
3841,0
3842,0
3843,0
3844,1
3845,1
3846,1
3847,0
3848,0
3849,0
3850,0
3851,0
3852,1
3853,1
3854,0
3855,1
3856,1
3857,0
3858,1
3859,1
3860,0
3861,0
3862,1
3863,0
3864,1
3865,1
3866,1
3867,1
3868,1
3869,1
3870,1
3871,0
3872,1
3873,1
3874,0
3875,0
3876,0
3877,0
3878,0
3879,1
3880,1
3881,0
3882,0
3883,0
3884,0
3885,0
3886,0
3887,1
3888,0
3889,0
3890,0
3891,1
3892,1
3893,1
3894,0
3895,1
3896,1
3897,1
3898,0
3899,0
3900,0
3901,0
3902,0
3903,1
3904,0
3905,1
3906,0
3907,0
3908,0
3909,1
3910,1
3911,1
3912,1
3913,1
3914,1
3915,0
3916,0
3917,0
3918,1
3919,1
3920,0
3921,1
3922,1
3923,1
3924,1
3925,0
3926,0
3927,1
3928,1
3929,0
3930,0
3931,1
3932,1
3933,1
3934,0
3935,0
3936,0
3937,1
3938,0
3939,0
3940,1
3941,0
3942,1
3943,1
3944,1
3945,0
3946,1
3947,0
3948,1
3949,0
3950,1
3951,1
3952,0
3953,0
3954,1
3955,1
3956,0
3957,1
3958,1
3959,0
3960,1
3961,1
3962,0
3963,0
3964,1
3965,1
3966,1
3967,0
3968,0
3969,0
3970,1
3971,0
3972,0
3973,1
3974,0
3975,0
3976,1
3977,0
3978,1
3979,0
3980,0
3981,0
3982,0
3983,1
3984,1
3985,0
3986,0
3987,0
3988,0
3989,1
3990,1
3991,1
3992,1
3993,1
3994,0
3995,0
3996,1
3997,1
3998,0
3999,0
