1800,0
1801,1
1802,0
1803,0
1804,0
1805,0
1806,0
1807,0
1808,0
1809,1
1810,1
1811,0
1812,0
1813,0
1814,1
1815,0
1816,0
1817,0
1818,0
1819,0
1820,1
1821,0
1822,0
1823,1
1824,0
1825,1
1826,0
1827,0
1828,1
1829,0
1830,0
1831,0
1832,0
1833,1
1834,0
1835,1
1836,0
1837,0
1838,1
1839,1
1840,1
1841,1
1842,1
1843,1
1844,0
1845,0
1846,1
1847,0
1848,0
1849,1
1850,0
1851,0
1852,1
1853,0
1854,0
1855,0
1856,0
1857,0
1858,0
1859,0
1860,0
1861,0
1862,1
1863,0
1864,0
1865,1
1866,1
1867,1
1868,1
1869,1
1870,0
1871,0
1872,1
1873,0
1874,1
1875,1
1876,1
1877,1
1878,0
1879,0
1880,0
1881,0
1882,0
1883,0
1884,1
1885,1
1886,0
1887,1
1888,1
1889,1
1890,1
1891,0
1892,0
1893,1
1894,1
1895,0
1896,1
1897,1
1898,0
1899,0
1900,0
1901,1
1902,0
1903,0
1904,0
1905,1
1906,1
1907,0
1908,0
1909,1
1910,0
1911,1
1912,1
1913,1
1914,1
1915,0
1916,0
1917,0
1918,1
1919,1
1920,0
1921,0
1922,1
1923,0
1924,0
1925,0
1926,1
1927,1
1928,1
1929,0
1930,0
1931,1
1932,1
1933,1
1934,0
1935,1
1936,1
1937,0
1938,1
1939,1
1940,1
1941,1
1942,1
1943,0
1944,0
1945,1
1946,0
1947,0
1948,0
1949,1
1950,0
1951,1
1952,0
1953,1
1954,1
1955,0
1956,0
1957,1
1958,0
1959,0
1960,1
1961,0
1962,0
1963,1
1964,1
1965,0
1966,0
1967,0
1968,0
1969,1
1970,1
1971,0
1972,0
1973,1
1974,0
1975,0
1976,1
1977,1
1978,1
1979,1
1980,0
1981,1
1982,1
1983,0
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,0
1991,0
1992,0
1993,0
1994,0
1995,1
1996,1
1997,0
1998,0
1999,0
